;std
BBG000HLJ7M4;0.031
BBG002293PJ4;0.048
BBG000BH0FR6;0.022
BBG004MN1R41;0.036
BBG000BWS3F3;0.038
BBG00Y3XYV94;0.029
BBG006KDCHJ4;0.054
BBG000BS5DR2;0.025
BBG000BDHD29;0.021
BBG00ZHCX1X2;0.025
BBG001R72SR9;0.026
BBG000BFDLV8;0.003
BBG00YQ82275;0.059
BBG002WMH2F2;0.02
BBG000D42FJ0;0.034
BBG000BMWKC5;0.02
BBG000BQHGR6;0.023
BBG000BNSZP1;0.017
BBG000BHJSC4;0.019
BBG000BXK6C5;0.024
BBG005YHY0Q7;0.039
BBG00FH3FM15;0.035
BBG00G4Y2DC1;0.033
BBG000BXQ7R1;0.029
BBG000LJS6B8;0.037
BBG002R1CW27;0.022
BBG000BWSV34;0.024
BBG000G7CDN9;0.037
BBG00HCY3Q67;0.036
BBG000BLMTR3;0.021
BBG004730JJ5;0.013
BBG000BB6KF5;0.018
BBG000QY4ZD0;0.043
BBG000BTNGZ4;0.025
BBG000BR2B91;0.018
BBG000CQCCK6;0.031
BBG0113JGQF0;0.032
BBG000PN9NB9;0.024
BBG000QBR5J5;0.03
BBG00629NGT2;0.058
BBG000FJH8W0;0.015
BBG000BJ81C1;0.016
BBG000DW76Y6;0.02
BBG000BG3445;0.016
BBG000HN7W02;0.018
BBG002PHSYX9;0.021
BBG000BHLYP4;0.018
BBG000BTCH57;0.021
BBG000BLY663;0.043
BBG0015XMW40;0.027
BBG000HXJB21;0.038
BBG000VKG4R5;0.026
BBG000QGWY50;0.156
BBG007GNPYY7;0.024
BBG000BPD168;0.012
BBG000BHLYS1;0.011
BBG000BNNKG9;0.018
BBG000TJM7F0;0.023
BBG000DD3KP1;0.012
BBG000M1R011;0.035
BBG000BDNV95;0.019
BBG000Q1KFH4;0.031
BBG00ZGF7771;0.082
BBG000HD3DW5;0.024
BBG006MDLY05;0.025
BBG002WLDMW5;0.04
BBG000K3BC83;0.029
BBG000TJ6F42;0.076
BBG001Z0Q6T5;0.027
BBG000DWG505;0.016
BBG000Q7GG57;
BBG0064N0ZZ5;0.03
BBG000HS77T5;0.008
BBG000BJQK11;0.004
BBG000C4SKT1;0.043
BBG0022FMPD5;0.039
BBG007KGRPY4;0.056
BBG0029SFXB3;0.021
BBG000GXZ4W7;0.027
BBG000BS1YV5;0.029
BBG000CHPMY5;0.013
BBG00BTK1DT8;0.099
BBG000HT5MG6;0.027
BBG000BWXBC2;0.033
BBG000GQPB11;0.061
BBG000BWHD54;0.023
BBG0059KNH10;0.008
BBG000BKGXQ4;0.024
BBG000BMDBZ1;0.034
BBG00W7FG4V8;0.049
BBG000BR7PK2;0.019
BBG000BH5DV1;0.033
BBG000DPKKK0;0.019
BBG000N26V95;0.052
BBG001QD41M9;0.036
BBG00S4VMQT2;0.091
BBG00L0YTFN8;0.022
BBG000BP3PW7;0.018
BBG000BLH3P8;0.046
BBG000HCXFS4;0.022
BBG000BKQDQ7;0.027
BBG001V9NSB4;0.083
BBG000BCBYT2;0.021
BBG000QDJT53;0.031
BBG000BNDN65;0.024
BBG000CBMH27;0.025
BBG001J1QN87;0.041
BBG000C1HN22;0.017
BBG003D4V951;0.041
BBG00209SZJ7;0.035
BBG000N9MNX3;0.045
